commentId,"movieName","comment","sentenceSegment","wordSegment",star,"commenter","commentTime"
81,NULL,NULL,NULL,"提前 媒体场
怎么 说 呢
有 笑点 但是 不 连贯
很多 笑点 没有 逻辑",-1,NULL,NULL
83,NULL,NULL,NULL,"无聊
且 猥琐",-1,NULL,NULL
84,NULL,NULL,NULL,"凭着 原 剧本 硬是 拔高 了 这部 小品",0,NULL,NULL
85,NULL,NULL,NULL,"拿 婚姻 生活 中年 危机 开光
干 的 却 是 猥琐 大叔 把妹 的 把戏
糟糕 的 体验
人物 行为 缺乏 合理 的 逻辑
段子 拼凑
卖 蠢",-1,NULL,NULL
86,NULL,NULL,NULL,"一 场 纠结 而 诚实 的 自慰
人 到 中年
性 魅力 渐 失 无望 攒 多
骗 自己 美丽 的 意外 是 人生 价值
既 想 去 荒野 冒险
又 想 同时 保护 妻儿 的 天真
意志 像 婴儿 般 的 身材 一样 软弱 幼稚
难免 幻灭
真正 持久 的 硬是 找到 自己 并 坚守
不 好好 审视 自我 变化 和 身边 的 心
只能 继续 随波逐流
YOYO 身材 美好
扮梦露 转圈 那段 够 心动",1,NULL,NULL
88,NULL,NULL,NULL,"男人 看 了 会 流泪
女人 看 了 会 沉默",0,NULL,NULL
89,NULL,NULL,NULL,"直接 翻 拍 解决 了 国产 喜剧 编剧 不 过硬 的 问题
描写 中年人 的 性 幻想 和 白日 梦 十分 到位
全片 笑点 密集
是 一 部 难得 找 准 定位 打 擦边球 的 R 级 喜剧 佳作
略 遗憾 的 是 没有 一 R 到底
片尾 再 想 收 回来 就 有点 编 不 圆 了
另外
这 片 英文 片名 竟然 是 Some
Like
Ii
Hot",1,NULL,NULL
90,NULL,NULL,NULL,"三星 给 不 出 戏 对 国产 电影 已经 是 奢望 了
一 星 给 笑点
对 一 部 讲 男人 出轨 的 片子
要求 什么 三观
你们 好 烦 呐
说 电影 撩动 男人 出轨 之 心
sorry 你们 家 也 太 容易 出轨 了
说 电影 只 反映 男人 中年 危机
拜托 你 去 拉 一个 导演 拍 女性 中年 危机 不 就 扯平 了 么
生活 中 的 问题 电影 解决 不 了
甭 拿 电影 撒气",1,NULL,NULL
91,NULL,NULL,NULL,"污力 十足
通俗 搞笑
三星半
紫荆 电影 城",1,NULL,NULL
92,NULL,NULL,NULL,"完成 度太差
中年 渴望 墙 外 花 再 年轻 一 回 的 男 主角 极 尽 骗 老婆 之 能事 搞 外遇
在 为 外 呆 一 夜 就 大 彻 大悟 洗 白 了
更 愚蠢 的 是 以 一场春梦 收尾
强行 又 让 韩国 妹子 做 了 婊 夏洛特 烦恼 的 毛病 被 放大 到 此片
依旧 是 小品 思维 拍 电影
乐嗬 乐嗬 属于 能 看 的 烂片",0,NULL,NULL
93,NULL,NULL,NULL,"万达 CBD 店 2017
1
3
8
25 pm",0,NULL,NULL
94,NULL,NULL,NULL,"直男癌 的 YY
三 观 不 是 特别 正
但是 还 挺 不错",0,NULL,NULL
95,NULL,NULL,NULL,"三 星 半 吧
感觉 没有 夏洛特 逗
但是 做 的 也 不错 了
笑点 也 很多
不 生涩
放松 心情 值得 一 看
但 也 确实
影片 男主 毫无 愧疚 心 的 出轨
至少 电影 没有 表现 出来 有 愧疚 之 心
看 着 让 人 各 应
克拉拉 确实 好看",0,NULL,NULL
96,NULL,NULL,NULL,"画面 太 丑
镜头 枯燥
梗 都 比 我 还 老
全 靠 演员 自强不息
该 给 闫妮 造型师 加 鸡腿
强行 出现 的 好色 老师 和 大姑
编剧 太 偷懒
以后 这种 生日 惊喜 梗拍 不过 零零发 就 别 拍 了
全场 爆笑
后 半程 看 得 我 不耐烦
三 观 不 算 恶心
但 技术 上 太 软",-1,NULL,NULL
97,NULL,NULL,NULL,"1
婚姻 导致 人生 困惑
2
段落 恶俗 搞笑
进口 的 花瓶 格外 美
3
三 观 合理
不 遮 不 掩
现实 如此",-1,NULL,NULL
98,NULL,NULL,NULL,"三 观 不 正
但 够俗",1,NULL,NULL
99,NULL,NULL,NULL,"荤 段子 不 多
超哥 墓碑 奔跑 吧 兄弟 大 尺度 镜头 有 几 个
开头 小沈阳 片中 汽车 MX 片尾 SPAXT
当然
韩国 妹子 每个 镜头 都 充满 了 色欲
单 剪 在 一起 估计 是 一 部 优秀 的 韩国 十九 禁 这 片子 三 观 跑偏
同样 是 中年 危机
徐峥 是 对 初恋 怀 有 冲动
而 肖央 对 这 清纯 的 韩国 妹子 就 是 赤裸 情欲
背身 全 裸 大 尺度 秀沟
福利",1,NULL,NULL
100,NULL,NULL,NULL,"婚姻 是 原罪
直男 都 过 得 太 辛苦
只有 韩国 女 模特 才 能 拯救 他们
所以 在 此 强烈 建议 取消 异性 婚姻
其实 没 那么 恨 直男
但 电影 拍 得 太 傻
忽视 婚姻 中 的 女性 又 取 笑刻板 化 的 同性恋
无聊 至极",-1,NULL,NULL
102,NULL,NULL,NULL,"负分 的 片名 下
意外 的 还 不错
至少 在 叙事 和 表演 方面 都 还 算 合适
比 之 几 个 话剧 电影 不知 要 高 到 哪里 去
实质 上 是 个 困惑 的 悲剧
对于 女性 社会 身份 和 中年 危机 的 表现
实际上 非常 冒犯 和 挑战 主流 价值观
但 比较 遗憾 是 这种 冒犯 又 仅 停留 在 调侃 层面
另外
性 暗示 尤其 多
同场 居然 那么 多 家庭 观众",0,NULL,NULL
103,NULL,NULL,NULL,"从 片名 到 阵容 都 是 一 副 烂 片相
但 居然 意外 的 感觉 不错
有 一个 比较 扎实 的 剧本 来 翻 拍
原 剧本 提供 的 主题 已经 足以 渗透 到 故事 里
跟 夏洛 一样 说 的 是 中年人 的 困境
春梦 虽 好
但 总 要 回归 现实
部分 笑点 设计师 有趣 的
个人 觉得 一些 配乐 还 挺 契合 的
闫妮 在 电影 中 简直 带 着 一 种 光环 一样 的 存在
美 得 很 有 气场",0,NULL,NULL
104,NULL,NULL,NULL,"还 没 看 过 原版
至少 把 故事 嫁接 到 中国 还是 不错 的
有 几 处 给 我 笑 趴 了
值得一提 的 是 喜剧 效果 都 挺 自然 的
没有 以往 的 浮夸 生硬
演员 们 虽然 都 是 中华 土味 系列
但 表演 都 比较 克制
比 开心 麻花 要 好
问题 还 是跟夏 洛特 烦恼 一样
剧情 整体 就 是 男性 春梦
所有 的 女性 角色 皆 为 男性 服务
主要 是 肖央 的 相貌 没 说服力 啊",0,NULL,NULL
108,NULL,NULL,NULL,"好笑
但 不 高级",0,NULL,NULL
109,NULL,NULL,NULL,"还 好 吧
也 就 乐一乐
克拉拉 蛮 撩 人
小沈阳 包 饺子 那段 太 逗比",0,NULL,NULL
110,NULL,NULL,NULL,"孤独 的 女 老板 撩 人 的 模特 和 隐忍 的 家庭 主妇
难道 中国 女性 的 形象 只 此 三 种
喜剧 的 外壳 下 是 恶俗 的 三 观
中年 危机 一定 得 靠 寻欢作乐 来 解决
影片 整体 风格 割裂 严重
一会 歌舞 一会 王家卫
也 是 不 懂
演员 的 演技 整体 不错
给星",-1,NULL,NULL
112,NULL,NULL,NULL,"笑点 有 没 有
有
但是 和 影片 不 正 的 三观让人 产生 的 反感 相比
喜剧 效果 在 观影 过程 中 的 存在感 显得 弱 得 多
三宗罪
物化 女性
女性 的 自我 意识 被 剥夺
成为 了 意淫 愚弄 引诱 的 对象
愚化 男性
男性 只 会 受 下 半身 驱使
毫无 责任感 可言
丑化 同志
翘 起 的 兰花指 和 扭捏 的 姿态 是 对 同志 的 恶意 消费",-1,NULL,NULL
113,NULL,NULL,NULL,"闫妮 一 星
李潇 夫妇 第一 次 编 电影剧本 一星
宋晓飞 一星
代 乐乐 一 星
闫妮 跳舞 再 一星
粗制滥造 减 一星
剧本 烂 俗 减 一 星
无理取闹 笑点 僵硬 减 一星
寓意 偏颇 减 一星
肖央 减 一星
唉 闫妮瘦 了 拉 回 一 星
瘦 了 的 闫妮 跳舞 了
再 给 一 星
不 能 再 多 了 实在 不 懂 这样 的 男主 是 怎样 坚定 美女 一定 会 跟 他 出轨 的",-1,NULL,NULL
114,NULL,NULL,NULL,"这 李成敏 真是",0,NULL,NULL
118,NULL,NULL,NULL,"我 表示 再 也 不 想 在 电影院 看见 小沈阳 了
表演 僵硬 程式化
换 一千 个 角色 他 还是 那 副 德行
没有 任何 意义 的 电影 只 为 那 一 张 可怜 的 电影票 钱
所以 说 商业 电影 在 中国 往往 很 有 市场
那 就 是 可悲 的 地方 了
闪现 着 人性 火花 的 商业 电影 在 中国 不 存在",-1,NULL,NULL
119,NULL,NULL,NULL,"挺 不 喜欢 里面 的 三 观 的
虽然 故事 还 算 可以",0,NULL,NULL
120,NULL,NULL,NULL,"国产 中 的 战斗机",1,NULL,NULL
121,NULL,NULL,NULL,"夏洛特 二
唉
中年人 的 危机",1,NULL,NULL
122,NULL,NULL,NULL,"在 我 最 黑暗 的 时刻
让 我 笑 出 了 泪
就 这么 简单",0,NULL,NULL
123,NULL,NULL,NULL,"直人梗
直人癌 直人剧 直人 演员
直人 世界观",-1,NULL,NULL
126,NULL,NULL,NULL,"第三 颗 星 给 韩国 妹子
特别 美
肖央 用 颜值 证明
中年 大叔 的 猥琐 是 如何 练 成 的
看 了 毒舌 电影 的 推荐 看 的
结果 好 失望",0,NULL,NULL
127,NULL,NULL,NULL,"把 人 的 丑恶 赤裸裸 的 放大 了
现在 国产 喜剧 的 套路感 太 深
快要 赶上 国产 恐怖 片 了 总之
愚民 尚 可
其他 免 谈",-1,NULL,NULL
128,NULL,NULL,NULL,"怅然若失
心酸 无比
前 半 段 喜剧
后 半 段 沉思
在 不同 的 时间 遇到 不同 的 电影 想想 还 真是 宿命
最后
克拉拉真 女神",1,NULL,NULL
130,NULL,NULL,NULL,"中国 男人 的 中年 危机 看来 很 简单
即 还 能 不 能 随心所欲 打 炮 的 问题
有人 说 这 片 拉 低 女人 形象
呃片 中 女人 体面 动人 自主 自强
男人 倒是 直接 被 描述 为 永远 停留 在 性 幼稚 阶段
对白 很 流畅
男花痴 的 形象 也 成立
比 国外 烂 仔片 不知 高 多少
跳楼 一 段 伤感 得到 凸出
其余 罗列 事实
有 笑果 但 仅此而已",0,NULL,NULL
131,NULL,NULL,NULL,"很 好笑
中年 男人 就 是 戏 多",0,NULL,NULL
132,NULL,NULL,NULL,"没 觉得 好笑
直男癌 没 救 了",-1,NULL,NULL
135,NULL,NULL,NULL,"前 半 部分 还 行
后 半 部 完全 就 是 交 作业 吧",0,NULL,NULL
136,NULL,NULL,NULL,"所有 妄图 将 自己 中年 一事无成 生活 平淡 庸庸 碌碌 毫无 生气 的 锅扔 给 那个 为 自己 生儿育女
操持 家务 的 可怜 女人 的 男人 都 是 傻逼 loser",-1,NULL,NULL
142,NULL,NULL,NULL,"戳 中 了 大多数 人 的 G 点
看 得 出来 用心 了",0,NULL,NULL
143,NULL,NULL,NULL,"评论 很多 说 三 观 不 正
还 真 没 看 出来
比 夏洛特 烦恼 好多 了",0,NULL,NULL
147,NULL,NULL,NULL,"笑点 在 哪 呢",-1,NULL,NULL
150,NULL,NULL,NULL,"不 吹 不 黑
本片 三 观 很 有 问题
此外 后 半 段 收 的 不够
没有 人物 有 明显 的 本质 的 成长
无论如何 演员 表演 还 行
闫妮 依然 美丽",0,NULL,NULL
152,NULL,NULL,NULL,"哈哈 哈哈 哈哈哈 哈哈哈
笑 shi 我 了",1,NULL,NULL
153,NULL,NULL,NULL,"挺逗 的
比 夏洛特 烦恼 更 逗
喜欢 这 两 个 编剧",1,NULL,NULL
